,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
34,Aljazeera,-0.00665,0.39691,0.0236,0.118,0.4012,0.118,0.0,https://www.aljazeera.com/news/2023/2/22/what-is-the-new-start-nuclear-deal-and-why-did-russia-suspend-it
35,Aljazeera,0.05714,0.42698,0.1533,0.1933,0.34,0.06,0.0067,https://www.aljazeera.com/news/2023/2/22/russias-war-in-ukraine-after-a-year-of-conflict-what-next
36,Aljazeera,0.02939,0.26524,0.107,0.1873,0.2141,0.0,0.0,https://www.aljazeera.com/news/2023/2/22/not-an-era-for-war-says-india-as-g20-finance-meet-begins
37,Aljazeera,0.08243,0.31942,0.1982,0.0991,0.5286,0.0991,0.0661,https://www.aljazeera.com/news/2023/2/22/russia-ukraine-war-list-of-key-events-day-364
38,Aljazeera,0.06601,0.25658,0.0723,0.1084,0.4698,0.1807,0.0,https://www.aljazeera.com/news/2023/2/22/xi-jinping-to-visit-moscow-for-summit-with-putin-report
39,Aljazeera,0.10551,0.31017,0.1977,0.0494,0.2224,0.0988,0.0,https://www.aljazeera.com/news/2023/2/21/wagner-mercenary-chief-accuses-russian-army-officials-of-treason
40,Aljazeera,-0.05428,0.31171,0.029,0.0,0.2608,0.0,0.0,https://www.aljazeera.com/news/2023/2/21/russia-calls-un-meeting-on-nord-stream-pipeline-sabotage
41,Aljazeera,0.12135,0.3237,0.4393,0.1809,0.3618,0.1292,0.0,https://www.aljazeera.com/news/2023/2/21/ukraine-war-will-never-be-a-victory-for-russia-biden-says
42,Aljazeera,0.0324,0.35874,0.1389,0.1389,0.2778,0.2951,0.0347,https://www.aljazeera.com/news/2023/2/21/shifting-the-blame-ukraine-responds-to-putins-address
43,Aljazeera,-0.01177,0.35396,0.0796,0.1193,0.0796,0.0,0.0199,https://www.aljazeera.com/news/2023/2/21/plane-motorcade-train-how-joe-biden-got-to-kyiv-in-secret
44,Aljazeera,0.07314,0.36956,0.1641,0.194,0.4178,0.2089,0.0,https://www.aljazeera.com/news/2023/2/21/russias-leader-putin-accuses-west-for-war-in-major-speech
