source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
BBC,0.08062,0.42854,0.2142,0.1713,0.2142,0.0357,0.0071,https://www.bbc.co.uk/news/world-europe-64637091
BBC,0.07565,0.35472,0.2275,0.1991,0.4835,0.2749,0.0,https://www.bbc.co.uk/news/world-europe-64744197
BBC,0.01552,0.3148,0.3476,0.1593,0.2752,0.1738,0.0435,https://www.bbc.co.uk/news/64718139
BBC,0.0355,0.32818,0.2348,0.2504,0.1565,0.0157,0.0,https://www.bbc.co.uk/news/uk-england-manchester-64676820
BBC,-0.00399,0.29611,0.2909,0.1746,0.2211,0.0465,0.0815,https://www.bbc.co.uk/news/world-europe-64702548
BBC,0.0925,0.3724,0.2277,0.1214,0.5464,0.0304,0.0,https://www.bbc.co.uk/news/60571253
BBC,-0.03893,0.37049,0.2595,0.2076,0.3114,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64685428
BBC,0.05635,0.43154,0.1432,0.21,0.2768,0.0191,0.0,https://www.bbc.co.uk/news/world-europe-64640183
BBC,-0.05832,0.37775,0.2995,0.177,0.3131,0.0136,0.0,https://www.bbc.co.uk/news/world-europe-64691001
BBC,0.09178,0.38213,0.1766,0.187,0.1454,0.0104,0.0,https://www.bbc.co.uk/news/world-europe-64678844
BBC,-0.00388,0.37369,0.2934,0.165,0.4217,0.0367,0.0367,https://www.bbc.co.uk/news/uk-64693691
BBC,0.03158,0.37522,0.1861,0.2127,0.2792,0.0133,0.0,https://www.bbc.co.uk/news/world-europe-64637928
BBC,0.07421,0.21865,0.3254,0.3525,0.0813,0.1627,0.1356,https://www.bbc.co.uk/news/world-europe-64710795
BBC,0.08289,0.39003,0.2624,0.1895,0.102,0.0437,0.0,https://www.bbc.co.uk/news/uk-england-gloucestershire-64706057
BBC,0.01805,0.37536,0.2713,0.2393,0.3191,0.0638,0.1755,https://www.bbc.co.uk/news/world-europe-64662184
BBC,-0.02532,0.35982,0.1473,0.1964,0.3192,0.0614,0.0,https://www.bbc.co.uk/news/world-europe-64625127
BBC,0.03334,0.36839,0.1939,0.181,0.3361,0.0388,0.0,https://www.bbc.co.uk/news/world-europe-64582985
BBC,0.01382,0.42436,0.1989,0.1724,0.2122,0.0663,0.0,https://www.bbc.co.uk/news/world-europe-64626783
BBC,0.02438,0.40343,0.1318,0.1622,0.2432,0.0101,0.0101,https://www.bbc.co.uk/news/world-europe-64596363
BBC,0.04206,0.1877,0.2968,0.2698,0.1349,0.0,0.054,https://www.bbc.co.uk/news/world-europe-64593974
BBC,0.03535,0.42923,0.2806,0.2205,0.2205,0.02,0.02,https://www.bbc.co.uk/news/world-europe-64609944
BBC,0.06876,0.36652,0.1894,0.2178,0.3598,0.0568,0.0,https://www.bbc.co.uk/news/world-europe-64543618
BBC,0.01778,0.36943,0.3344,0.1584,0.1936,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64579267
BBC,0.02672,0.33746,0.2505,0.167,0.2839,0.0167,0.1002,https://www.bbc.co.uk/news/world-europe-64593488
BBC,0.07542,0.36186,0.2107,0.2107,0.0421,0.0,0.3371,https://www.bbc.co.uk/news/in-pictures-64573568
BBC,0.03689,0.42398,0.2702,0.2334,0.1842,0.0,0.1842,https://www.bbc.co.uk/news/world-europe-64577375
BBC,0.00241,0.35605,0.2622,0.2314,0.3548,0.0154,0.0,https://www.bbc.co.uk/news/world-europe-64429625
BBC,0.00877,0.32635,0.3102,0.2286,0.5224,0.0,0.0327,https://www.bbc.co.uk/news/world-europe-64551937
BBC,0.01216,0.3668,0.1871,0.1754,0.2222,0.0117,0.0,https://www.bbc.co.uk/news/world-europe-64523029
BBC,-0.01942,0.23415,0.4529,0.2516,0.151,0.0252,0.0,https://www.bbc.co.uk/news/world-europe-64201083
BBC,0.00593,0.20852,0.288,0.288,0.0864,0.0288,0.0,https://www.bbc.co.uk/news/world-europe-64201085
BBC,-0.0095,0.39084,0.2333,0.1944,0.2981,0.1814,0.0648,https://www.bbc.co.uk/news/world-europe-64502504
BBC,-0.01709,0.33621,0.2963,0.1411,0.127,0.0423,0.0,https://www.bbc.co.uk/news/world-europe-64329059
BBC,-0.06274,0.33111,0.1563,0.0977,0.166,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64431524
BBC,0.02946,0.38669,0.2998,0.1043,0.2477,0.013,0.0912,https://www.bbc.co.uk/news/world-europe-64518532
BBC,0.06572,0.39214,0.4227,0.2187,0.1749,0.0,0.0437,https://www.bbc.co.uk/news/world-europe-64461613
BBC,0.08143,0.36983,0.1261,0.1121,0.042,0.0,0.0,https://www.bbc.co.uk/news/world-asia-india-64315370
BBC,0.03781,0.4076,0.165,0.0858,0.0924,0.0066,0.0,https://www.bbc.co.uk/news/world-europe-64467774
BBC,0.05262,0.40255,0.2532,0.199,0.1809,0.0181,0.0,https://www.bbc.co.uk/news/uk-england-oxfordshire-64496576
BBC,0.04614,0.36463,0.2648,0.1387,0.3026,0.063,0.0378,https://www.bbc.co.uk/news/world-europe-64492938
BBC,-0.02464,0.2881,0.2411,0.1669,0.3895,0.0,0.1484,https://www.bbc.co.uk/news/world-europe-64448808
BBC,0.04658,0.34386,0.3054,0.1446,0.4339,0.0,0.0321,https://www.bbc.co.uk/news/world-europe-64616099
BBC,0.04529,0.44418,0.189,0.1512,0.0567,0.0,0.0,https://www.bbc.co.uk/news/uk-england-birmingham-64186324
BBC,0.04579,0.41948,0.2078,0.1712,0.2934,0.0122,0.0122,https://www.bbc.co.uk/news/world-europe-64455123
BBC,0.09952,0.29903,0.2709,0.2709,0.0813,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63881946
BBC,0.05303,0.36619,0.1713,0.1557,0.1557,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64446436
BBC,0.09018,0.37506,0.3723,0.273,0.0496,0.0,0.0,https://www.bbc.co.uk/news/uk-england-surrey-63248448
BBC,0.07702,0.36815,0.3177,0.164,0.164,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64422568
BBC,0.02127,0.31212,0.3203,0.2002,0.1401,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64457401
BBC,0.04922,0.40779,0.335,0.1365,0.1365,0.0,0.0248,https://www.bbc.co.uk/news/world-europe-64370165
BBC,0.0107,0.14177,0.3944,0.4996,0.2104,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61685220
BBC,0.09764,0.45218,0.2426,0.1306,0.28,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64429377
BBC,0.02316,0.2571,0.273,0.2958,0.0455,0.0,0.0,https://www.bbc.co.uk/news/uk-england-hampshire-64375504
BBC,-0.01481,0.21561,0.2956,0.2709,0.0985,0.0,0.0493,https://www.bbc.co.uk/news/world-europe-60739681
BBC,0.04267,0.36632,0.2558,0.175,0.1212,0.0,0.0943,https://www.bbc.co.uk/news/world-europe-64401190
BBC,-0.04771,0.20163,0.4539,0.3471,0.1869,0.0534,0.0,https://www.bbc.co.uk/news/world-europe-61315483
BBC,0.06595,0.40597,0.1284,0.1498,0.2568,0.0642,0.0,https://www.bbc.co.uk/news/world-europe-64346971
BBC,0.04663,0.34953,0.3232,0.1243,0.1616,0.0,0.0746,https://www.bbc.co.uk/news/world-europe-64355839
BBC,0.025,0.33475,0.289,0.1825,0.3498,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64296979
BBC,0.02223,0.41886,0.274,0.0834,0.1668,0.0238,0.0834,https://www.bbc.co.uk/news/world-64408504
BBC,0.02876,0.19281,0.3291,0.2992,0.0598,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63198973
BBC,0.0725,0.36108,0.2593,0.124,0.1353,0.0,0.0789,https://www.bbc.co.uk/news/world-europe-64341337
BBC,0.08207,0.42298,0.3333,0.2608,0.1594,0.0145,0.0,https://www.bbc.co.uk/news/newsbeat-64037867
BBC,-0.00563,0.40231,0.226,0.1861,0.3191,0.0266,0.0,https://www.bbc.co.uk/news/world-europe-64329371
BBC,0.0062,0.24094,0.5248,0.3422,0.0456,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60743036
BBC,0.08828,0.43624,0.2499,0.2352,0.4852,0.1764,0.0294,https://www.bbc.co.uk/news/world-europe-64138731
BBC,0.02778,0.18056,0.3292,0.3891,0.0599,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61263856
BBC,-0.00058,0.26988,0.3011,0.3011,0.0502,0.0502,0.0,https://www.bbc.co.uk/news/uk-politics-60692437
BBC,0.00899,0.25132,0.3927,0.3682,0.0736,0.0245,0.0,https://www.bbc.co.uk/news/uk-politics-60740014
BBC,-0.00288,0.13436,0.385,0.3593,0.077,0.0,0.0,https://www.bbc.co.uk/news/world-asia-china-61239833
BBC,-0.00505,0.15126,0.3255,0.4006,0.3005,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61638389
BBC,0.01624,0.42343,0.1671,0.1671,0.2367,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64330808
BBC,0.02319,0.25764,0.2917,0.2674,0.1215,0.1702,0.0,https://www.bbc.co.uk/news/uk-politics-60602984
BBC,0.05655,0.4674,0.1733,0.1386,0.1906,0.0347,0.0,https://www.bbc.co.uk/news/uk-england-humber-63948652
BBC,-0.00486,0.17153,0.3419,0.3134,0.0855,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60767594
BBC,0.07438,0.2108,0.2923,0.3189,0.0531,0.0,0.0,https://www.bbc.co.uk/news/uk-england-london-61223023
BBC,0.06852,0.44025,0.276,0.1656,0.1472,0.0,0.0736,https://www.bbc.co.uk/news/world-europe-64316081
BBC,0.07392,0.1938,0.4839,0.3145,0.1452,0.0,0.0,https://www.bbc.co.uk/news/uk-england-essex-61760449
BBC,-0.02989,0.37178,0.1552,0.0997,0.2217,0.0111,0.0,https://www.bbc.co.uk/news/world-europe-64367346
BBC,-0.04141,0.24672,0.4374,0.3859,0.0515,0.0,0.0,https://www.bbc.co.uk/news/world-61100181
BBC,0.01327,0.17377,0.3278,0.298,0.0894,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60807897
BBC,-0.07164,0.25936,0.3023,0.2791,0.0698,0.0233,0.0,https://www.bbc.co.uk/news/uk-politics-60692438
BBC,0.02749,0.16287,0.3844,0.3844,0.0887,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60674189
BBC,0.00721,0.40628,0.2581,0.129,0.2194,0.0129,0.0258,https://www.bbc.co.uk/news/world-europe-64358577
BBC,-0.0744,0.17729,0.3867,0.4125,0.1031,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60802801
BBC,-0.07593,0.26343,0.4206,0.3216,0.099,0.2227,0.0,https://www.bbc.co.uk/news/uk-politics-60769541
BBC,-0.04771,0.25458,0.3303,0.3003,0.0901,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64284987
BBC,-0.02056,0.20806,0.3271,0.3271,0.0755,0.0,0.0503,https://www.bbc.co.uk/news/world-62378684
BBC,-0.00544,0.36411,0.332,0.2656,0.0664,0.0,0.1328,https://www.bbc.co.uk/news/uk-politics-60663777
BBC,0.00593,0.27519,0.4527,0.3196,0.0533,0.0,0.0533,https://www.bbc.co.uk/news/world-asia-60689267
BBC,0.05738,0.40281,0.2754,0.116,0.1595,0.0,0.0725,https://www.bbc.co.uk/news/world-europe-64350877
BBC,0.05853,0.40185,0.2721,0.2401,0.3041,0.0,0.032,https://www.bbc.co.uk/news/world-europe-63995244
BBC,-0.04141,0.23308,0.4132,0.2755,0.0826,0.0,0.0,https://www.bbc.co.uk/news/uk-wales-61487595
BBC,0.03056,0.28299,0.3683,0.3399,0.0567,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60701351
BBC,0.04044,0.44417,0.2853,0.1902,0.1141,0.0,0.0,https://www.bbc.co.uk/news/uk-england-shropshire-63156335
BBC,-0.00432,0.28837,0.4522,0.2618,0.0476,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60756873
BBC,0.02673,0.34491,0.2329,0.183,0.2828,0.0,0.0166,https://www.bbc.co.uk/news/world-africa-63935260
BBC,0.01114,0.37797,0.303,0.1515,0.2861,0.1515,0.0673,https://www.bbc.co.uk/news/world-europe-63225781
BBC,0.01565,0.35534,0.3224,0.1896,0.3224,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64250202
BBC,0.01699,0.17222,0.3044,0.4427,0.1384,0.1384,0.0,https://www.bbc.co.uk/news/world-europe-61395929
BBC,0.21313,0.37513,0.2965,0.2965,0.0494,0.0,0.0988,https://www.bbc.co.uk/news/uk-politics-60676935
BBC,-0.00832,0.37512,0.2617,0.2617,0.0476,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60692433
BBC,0.01989,0.39278,0.3125,0.1172,0.3777,0.0391,0.026,https://www.bbc.co.uk/news/world-europe-64235713
BBC,0.02118,0.28819,0.3935,0.2886,0.1312,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60714529
BBC,0.08574,0.41427,0.2491,0.1712,0.3269,0.0311,0.0,https://www.bbc.co.uk/news/64240404
BBC,0.00423,0.28942,0.3904,0.3384,0.0781,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60867789
BBC,0.02259,0.20852,0.4403,0.3108,0.1554,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60810168
BBC,0.00556,0.25799,0.266,0.5319,0.2926,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60730777
BBC,0.00674,0.34875,0.2761,0.1472,0.2577,0.0,0.0552,https://www.bbc.co.uk/news/world-europe-64304310
BBC,0.00123,0.18025,0.3228,0.2732,0.2732,0.0,0.0,https://www.bbc.co.uk/news/world-europe-62044014
BBC,0.0644,0.36603,0.2942,0.2274,0.5082,0.1337,0.0,https://www.bbc.co.uk/news/world-europe-61252320
BBC,0.09243,0.38934,0.1772,0.2025,0.2404,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64294653
BBC,0.02944,0.19639,0.3788,0.2914,0.1748,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60922298
BBC,0.00092,0.35015,0.3058,0.1893,0.3058,0.0291,0.0291,https://www.bbc.co.uk/news/world-europe-64282044
BBC,0.02778,0.1877,0.2967,0.3264,0.0593,0.0,0.2077,https://www.bbc.co.uk/news/world-europe-60731909
BBC,0.01453,0.19444,0.4377,0.3502,0.0875,0.0,0.0,https://www.bbc.co.uk/news/uk-wales-60748889
BBC,0.02967,0.35379,0.1252,0.1126,0.0501,0.0,0.0,https://www.bbc.co.uk/news/business-62630787
BBC,0.02573,0.13304,0.294,0.294,0.2352,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60878705
BBC,0.03472,0.16632,0.4132,0.3542,0.0885,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60656614
BBC,0.01938,0.29468,0.2775,0.2775,0.0757,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60752278
BBC,0.00897,0.17949,0.2918,0.2918,0.2918,0.0,0.0,https://www.bbc.co.uk/news/world-europe-62044015
BBC,0.02288,0.22306,0.2729,0.2977,0.1488,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60648944
BBC,0.07141,0.26977,0.3237,0.2739,0.0747,0.0,0.2241,https://www.bbc.co.uk/news/uk-politics-60666782
BBC,0.03486,0.38753,0.2676,0.2294,0.3441,0.0,0.0191,https://www.bbc.co.uk/news/world-africa-63627759
BBC,0.06259,0.27852,0.3488,0.3488,0.0581,0.0,0.0,https://www.bbc.co.uk/news/uk-northern-ireland-60738831
BBC,-0.06476,0.2033,0.3617,0.2653,0.0965,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60663773
BBC,0.00606,0.39525,0.3464,0.1808,0.3916,0.1808,0.0,https://www.bbc.co.uk/news/world-europe-63255617
BBC,-0.02805,0.42761,0.2745,0.3477,0.4941,0.0183,0.0,https://www.bbc.co.uk/news/world-europe-61029931
BBC,-0.02082,0.2268,0.3193,0.3193,0.0491,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61263855
BBC,0.05898,0.24649,0.3526,0.2518,0.0755,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64284986
BBC,0.10169,0.32512,0.3287,0.3757,0.047,0.0,0.0,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-61325368
BBC,0.06528,0.48891,0.194,0.194,0.097,0.0,0.0,https://www.bbc.co.uk/news/technology-64195492
BBC,0.01766,0.2122,0.4419,0.3038,0.1657,0.0276,0.0,https://www.bbc.co.uk/news/world-europe-60837125
BBC,0.00904,0.39359,0.169,0.1478,0.2112,0.0,0.0,https://www.bbc.co.uk/news/business-60557073
BBC,0.07983,0.31739,0.2562,0.2562,0.0466,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60692432
BBC,0.04904,0.4546,0.2496,0.1308,0.3447,0.0,0.0,https://www.bbc.co.uk/news/world-middle-east-63328274
BBC,0.03535,0.40181,0.269,0.1479,0.3093,0.0134,0.0403,https://www.bbc.co.uk/news/world-europe-64219979
BBC,0.02702,0.33391,0.3063,0.1872,0.3744,0.1702,0.0511,https://www.bbc.co.uk/news/world-europe-64055018
BBC,0.02289,0.35694,0.2086,0.1695,0.2216,0.0,0.013,https://www.bbc.co.uk/news/world-africa-63648681
BBC,0.02586,0.4172,0.1486,0.1208,0.1208,0.0,0.0093,https://www.bbc.co.uk/news/world-europe-64153581
BBC,-0.00636,0.40629,0.1734,0.2001,0.2001,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63850875
BBC,-0.07005,0.19686,0.2834,0.335,0.1546,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64136703
BBC,-0.00627,0.31869,0.3531,0.185,0.2859,0.0336,0.0336,https://www.bbc.co.uk/news/world-europe-64135079
BBC,0.01378,0.40957,0.2946,0.1657,0.3682,0.0829,0.0,https://www.bbc.co.uk/news/world-europe-63386634
BBC,0.04496,0.39944,0.2068,0.1839,0.1839,0.0,0.0,https://www.bbc.com/news/articles/czr7dmd4n14o
BBC,0.02741,0.41772,0.1248,0.1803,0.1248,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64187212
BBC,0.04408,0.41338,0.2454,0.1937,0.1291,0.0,0.0,https://www.bbc.co.uk/news/world-60995064
Aljazeera,-0.00444,0.18,0.431,0.2155,0.4849,0.1078,0.0539,https://www.aljazeera.com/news/2023/2/27/russia-ukraine-war-list-of-key-events-day-369
Aljazeera,0.09475,0.36786,0.1247,0.1663,0.4158,0.0416,0.0,https://www.aljazeera.com/news/2023/2/27/russian-plane-destroyed-near-minsk-airfield-belarus-opposition
Aljazeera,0.08643,0.36405,0.2687,0.2149,0.5911,0.0,0.0,https://www.aljazeera.com/news/2023/2/26/russia-ukraine-war-list-of-key-events-day-368
Aljazeera,0.06972,0.35659,0.1787,0.1191,0.2184,0.0794,0.0397,https://www.aljazeera.com/news/2023/2/26/macron-to-visit-china-seek-xis-help-to-end-russia-ukraine-war
Aljazeera,0.05854,0.35858,0.3001,0.0818,0.2455,0.0273,0.0,https://www.aljazeera.com/news/2023/2/25/thousands-rally-in-berlin-paris-to-call-for-peace-in-ukraine
Aljazeera,0.05854,0.37677,0.0935,0.0748,0.1684,0.0,0.0,https://www.aljazeera.com/news/2023/2/25/g20-meeting-ends-without-consensus-over-russias-war-in-ukraine
Aljazeera,0.17239,0.30488,0.159,0.0,0.265,0.106,0.0,https://www.aljazeera.com/news/2023/2/25/ukraine-launches-banksy-postage-stamp-on-war-anniversary
Aljazeera,0.01541,0.36849,0.2956,0.09,0.2185,0.1285,0.0,https://www.aljazeera.com/news/2023/2/25/as-long-as-it-takes-us-aid-to-ukraine-sustainable-experts-say
Aljazeera,0.01917,0.20583,0.2486,0.1776,0.3196,0.0,0.071,https://www.aljazeera.com/news/2023/2/25/russia-ukraine-war-list-of-key-events-day-367
Aljazeera,0.10864,0.40752,0.3678,0.2102,0.3153,0.0,0.0,https://www.aljazeera.com/news/2023/2/25/eu-approves-10th-package-of-sanctions-on-russia-over-ukraine-war
Aljazeera,0.05798,0.3476,0.2751,0.0917,0.2599,0.0153,0.0764,https://www.aljazeera.com/news/2023/2/24/one-year-into-invasion-ukraine-mourns-vows-victory
Aljazeera,0.10289,0.37829,0.24,0.2057,0.2057,0.0171,0.0343,https://www.aljazeera.com/news/2023/2/24/all-you-need-to-know-about-chinas-plan-for-russia-ukraine-war
Aljazeera,0.08449,0.32312,0.351,0.1462,0.3217,0.0585,0.0,https://www.aljazeera.com/news/2023/2/24/us-announces-new-ukraine-aid-russia-sanctions-on-war-anniversary
Aljazeera,-0.00825,0.42249,0.142,0.1263,0.1263,0.0158,0.0,https://www.aljazeera.com/news/2023/2/24/never-wanted-to-leave-mariupol-residents-look-back-at-war
