,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
47,BBC,0.03761,0.19444,0.392,0.3619,0.0603,0.0302,0.0,https://www.bbc.co.uk/news/world-europe-64750156
48,BBC,0.09005,0.38264,0.2744,0.1682,0.0885,0.0,0.0,https://www.bbc.co.uk/news/world-africa-64716801
49,BBC,0.02555,0.34877,0.2598,0.2728,0.4287,0.1104,0.0195,https://www.bbc.co.uk/news/world-europe-56720589
50,BBC,0.0176,0.38474,0.1652,0.2695,0.4259,0.0956,0.0,https://www.bbc.co.uk/news/world-europe-64703768
51,BBC,0.10716,0.43254,0.2177,0.1633,0.0653,0.0,0.0,https://www.bbc.co.uk/news/uk-northern-ireland-64751637
52,BBC,0.06206,0.36489,0.4513,0.2106,0.1805,0.015,0.0301,https://www.bbc.co.uk/news/uk-politics-64712995
53,BBC,0.1404,0.38916,0.1663,0.1663,0.064,0.0,0.0,https://www.bbc.co.uk/news/uk-wales-64705119
54,BBC,0.08062,0.42854,0.2142,0.1713,0.2142,0.0357,0.0071,https://www.bbc.co.uk/news/world-europe-64637091
55,BBC,0.07565,0.35472,0.2275,0.1991,0.4835,0.2749,0.0,https://www.bbc.co.uk/news/world-europe-64744197
56,BBC,0.01552,0.3148,0.3476,0.1593,0.2752,0.1738,0.0435,https://www.bbc.co.uk/news/64718139
57,BBC,0.0355,0.32818,0.2348,0.2504,0.1565,0.0157,0.0,https://www.bbc.co.uk/news/uk-england-manchester-64676820
58,BBC,-0.00399,0.29611,0.2909,0.1746,0.2211,0.0465,0.0815,https://www.bbc.co.uk/news/world-europe-64702548
59,BBC,0.0925,0.3724,0.2277,0.1214,0.5464,0.0304,0.0,https://www.bbc.co.uk/news/60571253
60,BBC,-0.03893,0.37049,0.2595,0.2076,0.3114,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64685428
61,BBC,0.05635,0.43154,0.1432,0.21,0.2768,0.0191,0.0,https://www.bbc.co.uk/news/world-europe-64640183
62,BBC,-0.05832,0.37775,0.2995,0.177,0.3131,0.0136,0.0,https://www.bbc.co.uk/news/world-europe-64691001
63,BBC,0.09178,0.38213,0.1766,0.187,0.1454,0.0104,0.0,https://www.bbc.co.uk/news/world-europe-64678844
64,BBC,-0.00388,0.37369,0.2934,0.165,0.4217,0.0367,0.0367,https://www.bbc.co.uk/news/uk-64693691
65,BBC,0.03158,0.37522,0.1861,0.2127,0.2792,0.0133,0.0,https://www.bbc.co.uk/news/world-europe-64637928
66,BBC,0.07421,0.21865,0.3254,0.3525,0.0813,0.1627,0.1356,https://www.bbc.co.uk/news/world-europe-64710795
67,BBC,0.08289,0.39003,0.2624,0.1895,0.102,0.0437,0.0,https://www.bbc.co.uk/news/uk-england-gloucestershire-64706057
68,BBC,0.01805,0.37536,0.2713,0.2393,0.3191,0.0638,0.1755,https://www.bbc.co.uk/news/world-europe-64662184
69,BBC,-0.02532,0.35982,0.1473,0.1964,0.3192,0.0614,0.0,https://www.bbc.co.uk/news/world-europe-64625127
70,BBC,0.03334,0.36839,0.1939,0.181,0.3361,0.0388,0.0,https://www.bbc.co.uk/news/world-europe-64582985
71,BBC,0.01382,0.42436,0.1989,0.1724,0.2122,0.0663,0.0,https://www.bbc.co.uk/news/world-europe-64626783
72,BBC,0.02438,0.40343,0.1318,0.1622,0.2432,0.0101,0.0101,https://www.bbc.co.uk/news/world-europe-64596363
